$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_P_NDIR_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.15 02:02:00	1015.965000	0	60	60	1	1015.830000	1016.090000	0.004605	NaN	NaN	101596.500000	9
2021.12.15 02:03:00	1016.028167	0	60	60	1	1015.870000	1016.140000	0.006137	NaN	NaN	101602.816667	0
2021.12.15 02:04:00	1016.082833	0	60	60	1	1015.920000	1016.210000	0.005939	NaN	NaN	101608.283333	9
2021.12.15 02:05:00	1016.136000	0	60	60	1	1015.990000	1016.270000	0.005004	NaN	NaN	101613.600000	0
2021.12.15 02:06:00	1016.174333	0	60	60	1	1016.050000	1016.310000	0.005042	NaN	NaN	101617.433333	9
2021.12.15 02:07:00	1016.208500	0	60	60	1	1016.060000	1016.360000	0.005152	NaN	NaN	101620.850000	0
2021.12.15 02:08:00	1016.221333	0	60	60	1	1016.090000	1016.330000	0.005415	NaN	NaN	101622.133333	9
2021.12.15 02:09:00	1016.225500	0	60	60	1	1016.070000	1016.360000	0.004622	NaN	NaN	101622.550000	9
2021.12.15 02:10:00	1016.257167	0	60	60	1	1016.140000	1016.380000	0.003966	NaN	NaN	101625.716667	0
2021.12.15 02:11:00	1016.251000	0	60	60	1	1016.110000	1016.390000	0.005345	NaN	NaN	101625.100000	0
2021.12.15 02:12:00	1016.237167	0	60	60	1	1016.100000	1016.400000	0.005709	NaN	NaN	101623.716667	9
2021.12.15 02:13:00	1016.253667	0	60	60	1	1016.090000	1016.400000	0.005915	NaN	NaN	101625.366667	0
2021.12.15 02:14:00	1016.256833	0	60	60	1	1016.130000	1016.390000	0.004547	NaN	NaN	101625.683333	0
2021.12.15 02:15:00	1016.250833	0	60	60	1	1016.090000	1016.390000	0.005428	NaN	NaN	101625.083333	0
2021.12.15 02:16:00	1016.258000	0	60	60	1	1016.130000	1016.380000	0.005426	NaN	NaN	101625.800000	9
2021.12.15 02:17:00	1016.248667	0	60	60	1	1016.110000	1016.380000	0.004469	NaN	NaN	101624.866667	0
2021.12.15 02:18:00	1016.248500	0	60	60	1	1016.090000	1016.390000	0.005094	NaN	NaN	101624.850000	9
2021.12.15 02:19:00	1016.209333	0	60	60	1	1016.100000	1016.330000	0.004111	NaN	NaN	101620.933333	0
2021.12.15 02:20:00	1016.189333	0	60	61	1	1016.050000	1016.290000	0.004284	NaN	NaN	101618.933333	9
2021.12.15 02:21:00	1016.171333	0	60	60	1	1016.030000	1016.290000	0.005327	NaN	NaN	101617.133333	9
2021.12.15 02:22:00	1016.164167	0	60	60	1	1016.030000	1016.280000	0.005004	NaN	NaN	101616.416667	0
2021.12.15 02:23:00	1016.157667	0	60	60	1	1016.020000	1016.270000	0.004035	NaN	NaN	101615.766667	9
2021.12.15 02:24:00	1016.136500	0	60	60	1	1015.990000	1016.270000	0.005318	NaN	NaN	101613.650000	9
2021.12.15 02:25:00	1016.111667	0	60	60	1	1015.950000	1016.220000	0.004621	NaN	NaN	101611.166667	0
2021.12.15 02:26:00	1016.088833	0	60	60	1	1015.940000	1016.220000	0.004634	NaN	NaN	101608.883333	9
2021.12.15 02:27:00	1016.017667	0	60	60	1	1015.850000	1016.140000	0.005578	NaN	NaN	101601.766667	9
2021.12.15 02:28:00	1015.980000	0	60	60	1	1015.850000	1016.100000	0.004712	NaN	NaN	101598.000000	9
2021.12.15 02:29:00	1015.965000	0	60	60	1	1015.810000	1016.070000	0.005456	NaN	NaN	101596.500000	0
2021.12.15 02:30:00	1015.977000	0	60	60	1	1015.780000	1016.100000	0.005571	NaN	NaN	101597.700000	9
2021.12.15 02:31:00	1015.995667	0	60	60	1	1015.850000	1016.130000	0.005113	NaN	NaN	101599.566667	0
2021.12.15 02:32:00	1016.016500	0	60	60	1	1015.890000	1016.140000	0.003552	NaN	NaN	101601.650000	0
2021.12.15 02:33:00	1016.033667	0	60	60	1	1015.870000	1016.160000	0.005837	NaN	NaN	101603.366667	0
2021.12.15 02:34:00	1016.081167	0	60	60	1	1015.920000	1016.180000	0.004587	NaN	NaN	101608.116667	0
