$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 01:12:00	19.480650	0	60	60	1	19.474000	19.545000	0.000216	NaN	NaN	19480.650000	0
2021.12.17 01:13:00	19.477067	0	60	60	1	19.473000	19.510000	0.000079	NaN	NaN	19477.066667	9
2021.12.17 01:14:00	19.500583	0	60	60	1	19.473000	19.546000	0.000767	NaN	NaN	19500.583333	9
2021.12.17 01:15:00	19.536100	0	60	60	1	19.475000	19.547000	0.000460	NaN	NaN	19536.100000	9
2021.12.17 01:16:00	19.550567	0	60	60	1	19.544000	19.616000	0.000290	NaN	NaN	19550.566667	0
2021.12.17 01:17:00	19.565583	0	60	60	1	19.543000	19.617000	0.000740	NaN	NaN	19565.583333	0
2021.12.17 01:18:00	19.600767	0	60	60	1	19.545000	19.617000	0.000566	NaN	NaN	19600.766667	0
2021.12.17 01:19:00	19.623033	0	60	60	1	19.581000	19.688000	0.000418	NaN	NaN	19623.033333	0
2021.12.17 01:20:00	19.684083	0	60	60	1	19.651000	19.688000	0.000097	NaN	NaN	19684.083333	9
2021.12.17 01:21:00	19.690400	0	60	60	1	19.686000	19.757000	0.000156	NaN	NaN	19690.400000	9
2021.12.17 01:22:00	19.720217	0	60	60	1	19.686000	19.759000	0.000752	NaN	NaN	19720.216667	0
2021.12.17 01:23:00	19.740717	0	60	60	1	19.686000	19.759000	0.000579	NaN	NaN	19740.716667	9
2021.12.17 01:24:00	19.753250	0	60	60	1	19.687000	19.759000	0.000231	NaN	NaN	19753.250000	0
2021.12.17 01:25:00	19.755450	0	60	60	1	19.722000	19.759000	0.000082	NaN	NaN	19755.450000	9
2021.12.17 01:26:00	19.752133	0	60	60	1	19.687000	19.759000	0.000344	NaN	NaN	19752.133333	9
2021.12.17 01:27:00	19.752667	0	60	60	1	19.687000	19.760000	0.000250	NaN	NaN	19752.666667	9
2021.12.17 01:28:00	19.754317	0	60	60	1	19.686000	19.759000	0.000205	NaN	NaN	19754.316667	9
2021.12.17 01:29:00	19.757450	0	60	60	1	19.722000	19.759000	0.000022	NaN	NaN	19757.450000	9
2021.12.17 01:30:00	19.755983	0	60	60	1	19.721000	19.759000	0.000064	NaN	NaN	19755.983333	9
2021.12.17 01:31:00	19.755500	0	60	60	1	19.721000	19.792000	0.000124	NaN	NaN	19755.500000	9
2021.12.17 01:32:00	19.757833	0	60	60	1	19.756000	19.759000	0.000000	NaN	NaN	19757.833333	0
2021.12.17 01:33:00	19.757050	0	60	60	1	19.722000	19.759000	0.000022	NaN	NaN	19757.050000	0
2021.12.17 01:34:00	19.756950	0	60	60	1	19.722000	19.758000	0.000021	NaN	NaN	19756.950000	0
2021.12.17 01:35:00	19.756567	0	60	60	1	19.721000	19.759000	0.000023	NaN	NaN	19756.566667	9
