$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.09 00:00:04
$Filename; CO2FT_A_T_Control_20211209.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Control, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Control	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.09 01:41:00	50.000417	0	60	60	1	49.982000	50.014000	0.000047	NaN	NaN	50000.416667	0
2021.12.09 01:42:00	50.000900	0	60	60	1	49.977000	50.018000	0.000064	NaN	NaN	50000.900000	0
2021.12.09 01:43:00	49.999525	0	59	59	1	49.978000	50.013000	0.000066	NaN	NaN	49999.525424	9
2021.12.09 01:44:00	50.000833	0	60	59	1	49.978000	50.018000	0.000068	NaN	NaN	50000.833333	9
2021.12.09 01:45:00	49.999050	0	60	59	1	49.962000	50.014000	0.000074	NaN	NaN	49999.050000	0
2021.12.09 01:46:00	49.999082	0	61	61	1	49.971000	50.013000	0.000071	NaN	NaN	49999.081967	9
2021.12.09 01:47:00	49.999424	0	59	59	1	49.954000	50.018000	0.000081	NaN	NaN	49999.423729	0
2021.12.09 01:48:00	49.999683	0	60	60	1	49.983000	50.015000	0.000048	NaN	NaN	49999.683333	0
2021.12.09 01:49:00	49.999633	0	60	61	1	49.979000	50.013000	0.000043	NaN	NaN	49999.633333	0
2021.12.09 01:50:00	50.000317	0	60	59	1	49.981000	50.014000	0.000046	NaN	NaN	50000.316667	0
2021.12.09 01:51:00	50.001100	0	60	60	1	49.986000	50.017000	0.000040	NaN	NaN	50001.100000	0
2021.12.09 01:52:00	50.000183	0	60	60	1	49.991000	50.020000	0.000037	NaN	NaN	50000.183333	9
2021.12.09 01:53:00	49.999983	0	60	60	1	49.962000	50.015000	0.000069	NaN	NaN	49999.983333	0
2021.12.09 01:54:00	50.000883	0	60	59	1	49.985000	50.015000	0.000044	NaN	NaN	50000.883333	9
2021.12.09 01:55:00	49.999117	0	60	60	1	49.972000	50.017000	0.000057	NaN	NaN	49999.116667	0
2021.12.09 01:56:00	50.000683	0	60	60	1	49.979000	50.016000	0.000044	NaN	NaN	50000.683333	0
2021.12.09 01:57:00	50.001133	0	60	60	1	49.978000	50.014000	0.000073	NaN	NaN	50001.133333	0
2021.12.09 01:58:00	49.998883	0	60	60	1	49.971000	50.013000	0.000054	NaN	NaN	49998.883333	0
2021.12.09 01:59:00	50.000983	0	60	60	1	49.953000	50.018000	0.000081	NaN	NaN	50000.983333	0
2021.12.09 02:00:00	50.000133	0	60	61	1	49.981000	50.014000	0.000052	NaN	NaN	50000.133333	0
2021.12.09 02:01:00	49.998817	0	60	60	1	49.961000	50.017000	0.000090	NaN	NaN	49998.816667	9
2021.12.09 02:02:00	50.001767	0	60	60	1	49.984000	50.014000	0.000056	NaN	NaN	50001.766667	0
2021.12.09 02:03:00	49.999000	0	60	60	1	49.984000	50.011000	0.000050	NaN	NaN	49999.000000	0
2021.12.09 02:04:00	49.999950	0	60	61	1	49.986000	50.011000	0.000042	NaN	NaN	49999.950000	0
2021.12.09 02:05:00	50.000770	0	61	60	1	49.976000	50.017000	0.000053	NaN	NaN	50000.770492	9
2021.12.09 02:06:00	49.999339	0	59	59	1	49.961000	50.016000	0.000062	NaN	NaN	49999.338983	9
2021.12.09 02:07:00	49.999492	0	61	61	1	49.977000	50.012000	0.000051	NaN	NaN	49999.491803	0
2021.12.09 02:08:00	50.000254	0	59	59	1	49.981000	50.015000	0.000042	NaN	NaN	50000.254237	9
2021.12.09 02:09:00	50.000583	0	60	59	1	49.979000	50.018000	0.000059	NaN	NaN	50000.583333	0
2021.12.09 02:10:00	50.000317	0	60	60	1	49.984000	50.012000	0.000053	NaN	NaN	50000.316667	9
2021.12.09 02:11:00	49.999705	0	61	61	1	49.983000	50.020000	0.000046	NaN	NaN	49999.704918	9
2021.12.09 02:12:00	50.000508	0	59	59	1	49.984000	50.013000	0.000033	NaN	NaN	50000.508475	9
2021.12.09 02:13:00	50.001583	0	60	59	1	49.986000	50.018000	0.000048	NaN	NaN	50001.583333	0
2021.12.09 02:14:00	49.998984	0	61	61	1	49.980000	50.017000	0.000042	NaN	NaN	49998.983607	0
2021.12.09 02:15:00	50.000254	0	59	60	1	49.974000	50.017000	0.000072	NaN	NaN	50000.254237	0
2021.12.09 02:16:00	50.000016	0	61	60	1	49.981000	50.013000	0.000054	NaN	NaN	50000.016393	9
2021.12.09 02:17:00	49.999593	0	59	58	1	49.987000	50.012000	0.000036	NaN	NaN	49999.593220	0
2021.12.09 02:18:00	50.000367	0	60	61	1	49.984000	50.021000	0.000063	NaN	NaN	50000.366667	0
2021.12.09 02:19:00	50.000583	0	60	61	1	49.979000	50.014000	0.000038	NaN	NaN	50000.583333	9
2021.12.09 02:20:00	49.999443	0	61	60	1	49.984000	50.014000	0.000038	NaN	NaN	49999.442623	9
2021.12.09 02:21:00	49.999593	0	59	59	1	49.982000	50.013000	0.000046	NaN	NaN	49999.593220	9
2021.12.09 02:22:00	50.000508	0	61	61	1	49.980000	50.016000	0.000061	NaN	NaN	50000.508197	0
2021.12.09 02:23:00	49.999200	0	60	60	1	49.979000	50.021000	0.000054	NaN	NaN	49999.200000	0
2021.12.09 02:24:00	49.999200	0	60	60	1	49.967000	50.012000	0.000075	NaN	NaN	49999.200000	0
2021.12.09 02:25:00	50.000483	0	60	59	1	49.980000	50.012000	0.000039	NaN	NaN	50000.483333	0
2021.12.09 02:26:00	49.999831	0	59	60	1	49.985000	50.014000	0.000027	NaN	NaN	49999.830508	0
2021.12.09 02:27:00	50.000283	0	60	60	1	49.975000	50.014000	0.000057	NaN	NaN	50000.283333	0
2021.12.09 02:28:00	49.999934	0	61	60	1	49.981000	50.015000	0.000058	NaN	NaN	49999.934426	0
2021.12.09 02:29:00	49.999814	0	59	59	1	49.981000	50.014000	0.000051	NaN	NaN	49999.813559	9
2021.12.09 02:30:00	50.000983	0	60	60	1	49.986000	50.018000	0.000049	NaN	NaN	50000.983333	9
2021.12.09 02:31:00	49.999367	0	60	59	1	49.984000	50.015000	0.000060	NaN	NaN	49999.366667	0
2021.12.09 02:32:00	50.000951	0	61	61	1	49.988000	50.015000	0.000043	NaN	NaN	50000.950820	0
2021.12.09 02:33:00	50.002183	0	60	59	1	49.948000	50.017000	0.000101	NaN	NaN	50002.183333	0
2021.12.09 02:34:00	49.999932	0	59	60	1	49.985000	50.021000	0.000057	NaN	NaN	49999.932203	0
2021.12.09 02:35:00	50.000233	0	60	59	1	49.981000	50.019000	0.000069	NaN	NaN	50000.233333	0
2021.12.09 02:36:00	50.000803	0	61	61	1	49.960000	50.016000	0.000084	NaN	NaN	50000.803279	0
2021.12.09 02:37:00	50.000000	0	60	60	1	49.976000	50.013000	0.000050	NaN	NaN	50000.000000	9
2021.12.09 02:38:00	49.999847	0	59	60	1	49.974000	50.016000	0.000068	NaN	NaN	49999.847458	9
2021.12.09 02:39:00	49.997717	0	60	59	1	49.973000	50.011000	0.000064	NaN	NaN	49997.716667	9
2021.12.09 02:40:00	50.000467	0	60	60	1	49.964000	50.020000	0.000090	NaN	NaN	50000.466667	0
2021.12.09 02:41:00	49.998883	0	60	60	1	49.981000	50.013000	0.000059	NaN	NaN	49998.883333	0
2021.12.09 02:42:00	49.999500	0	60	61	1	49.984000	50.017000	0.000053	NaN	NaN	49999.500000	0
2021.12.09 02:43:00	49.999967	0	60	60	1	49.965000	50.017000	0.000067	NaN	NaN	49999.966667	9
2021.12.09 02:44:00	49.999000	0	60	60	1	49.984000	50.014000	0.000053	NaN	NaN	49999.000000	9
2021.12.09 02:45:00	50.000667	0	60	60	1	49.983000	50.018000	0.000053	NaN	NaN	50000.666667	0
2021.12.09 02:46:00	49.999417	0	60	60	1	49.987000	50.017000	0.000035	NaN	NaN	49999.416667	0
2021.12.09 02:47:00	50.000689	0	61	61	1	49.983000	50.013000	0.000050	NaN	NaN	50000.688525	9
2021.12.09 02:48:00	49.999339	0	59	60	1	49.982000	50.019000	0.000052	NaN	NaN	49999.338983	0
2021.12.09 02:49:00	50.000433	0	60	60	1	49.976000	50.016000	0.000060	NaN	NaN	50000.433333	9
2021.12.09 02:50:00	50.000250	0	60	59	1	49.983000	50.020000	0.000050	NaN	NaN	50000.250000	0
2021.12.09 02:51:00	49.999550	0	60	60	1	49.961000	50.013000	0.000068	NaN	NaN	49999.550000	0
2021.12.09 02:52:00	49.999650	0	60	60	1	49.980000	50.016000	0.000061	NaN	NaN	49999.650000	0
2021.12.09 02:53:00	50.000683	0	60	60	1	49.987000	50.014000	0.000049	NaN	NaN	50000.683333	9
2021.12.09 02:54:00	49.998738	0	61	61	1	49.969000	50.015000	0.000053	NaN	NaN	49998.737705	0
2021.12.09 02:55:00	50.000450	0	60	61	1	49.983000	50.013000	0.000040	NaN	NaN	50000.450000	9
