$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.13 04:00:10
$Filename; CO2FT_A ZeroCycle 20211213 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.13 04:00:59	0	0	NaN	NaN	1023.860000	998.350000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	49.998000	31.899000	39.557000	25.900000	66666.000000	66666.000000
2021.12.13 04:01:00	0	0	NaN	NaN	1023.850000	998.290000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.004000	31.869000	39.553000	26.070000	66666.000000	66666.000000
2021.12.13 04:01:01	0	0	NaN	NaN	1023.850000	998.340000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	49.994000	31.899000	39.624000	25.900000	66666.000000	66666.000000
2021.12.13 04:01:02	0	0	NaN	NaN	1023.850000	998.330000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.000000	31.910000	39.625000	25.900000	66666.000000	66666.000000
2021.12.13 04:01:03	0	0	NaN	NaN	1023.830000	998.340000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.002000	31.910000	39.625000	26.070000	66666.000000	66666.000000
2021.12.13 04:01:04	0	0	NaN	NaN	1023.910000	998.350000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.300000	50.014000	31.869000	39.587000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:05	0	0	NaN	NaN	1023.850000	998.370000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.004000	31.880000	39.588000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:06	0	0	NaN	NaN	1023.830000	998.380000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.008000	31.880000	39.554000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:07	0	0	NaN	NaN	1023.930000	998.420000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	49.991000	31.910000	39.591000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:08	0	0	NaN	NaN	1023.890000	998.400000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.001000	31.880000	39.621000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:09	0	0	NaN	NaN	1023.870000	998.400000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.008000	31.880000	39.621000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:10	0	0	NaN	NaN	1023.890000	998.420000	1.000000	0.000000	22233.000000	15115.000000	46.700000	-81.543000	2.000000	66666.000000	26.290000	50.008000	31.889000	39.589000	25.910000	66666.000000	66666.000000
2021.12.13 04:01:11	0	0	NaN	NaN	1023.900000	998.460000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.000000	31.880000	39.621000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:12	0	0	NaN	NaN	1023.890000	998.420000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.003000	31.880000	39.621000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:13	0	0	NaN	NaN	1023.910000	998.450000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.006000	31.899000	39.657000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:14	0	0	NaN	NaN	1023.900000	998.440000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.470000	50.007000	31.859000	39.619000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:15	0	0	NaN	NaN	1023.860000	998.450000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.011000	31.859000	39.619000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:16	0	0	NaN	NaN	1023.870000	998.510000	1.000000	0.000000	22233.000000	15116.000000	46.700000	-81.131000	2.000000	66666.000000	26.460000	50.001000	31.880000	39.688000	26.080000	66666.000000	66666.000000
2021.12.13 04:01:17	0	0	NaN	NaN	1023.910000	998.460000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	49.998000	31.889000	39.689000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:18	0	0	NaN	NaN	1023.890000	998.510000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.000000	31.889000	39.689000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:19	0	0	NaN	NaN	1023.850000	998.510000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	49.993000	31.880000	39.688000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:20	0	0	NaN	NaN	1023.870000	998.480000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.010000	31.880000	39.688000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:21	0	0	NaN	NaN	1023.900000	998.520000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.005000	31.910000	39.692000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:22	0	0	NaN	NaN	1023.900000	998.490000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.006000	31.899000	39.691000	25.960000	66666.000000	66666.000000
2021.12.13 04:01:23	0	0	NaN	NaN	1023.890000	998.550000	1.000000	0.000000	22234.000000	15116.000000	46.700000	-81.410000	2.000000	66666.000000	26.350000	50.004000	31.889000	39.689000	25.970000	66666.000000	66666.000000
