$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.08 01:34:00	466.117869	0	61	61	1	465.590000	466.820000	0.077544	NaN	NaN	46611.786885	9
2021.12.08 01:35:00	466.700000	0	59	59	1	465.690000	468.150000	0.287459	NaN	NaN	46670.000000	0
2021.12.08 01:36:00	468.070000	0	60	60	1	467.530000	468.760000	0.084264	NaN	NaN	46807.000000	9
2021.12.08 01:37:00	468.377869	0	61	61	1	467.680000	468.900000	0.054007	NaN	NaN	46837.786885	9
2021.12.08 01:38:00	468.818333	0	60	59	1	468.440000	469.120000	0.042746	NaN	NaN	46881.833333	0
2021.12.08 01:39:00	469.205667	0	60	59	1	468.820000	469.950000	0.058842	NaN	NaN	46920.566667	0
2021.12.08 01:40:00	469.521667	0	60	60	1	468.900000	470.220000	0.088753	NaN	NaN	46952.166667	9
2021.12.08 01:41:00	469.595254	0	59	59	1	468.950000	470.220000	0.073005	NaN	NaN	46959.525424	9
2021.12.08 01:42:00	470.111967	0	61	61	1	469.180000	470.880000	0.128683	NaN	NaN	47011.196721	9
2021.12.08 01:43:00	470.764576	0	59	59	1	469.870000	471.390000	0.155429	NaN	NaN	47076.457627	9
2021.12.08 01:44:00	470.868833	0	60	59	1	470.350000	471.330000	0.049319	NaN	NaN	47086.883333	0
2021.12.08 01:45:00	471.217213	0	61	61	1	470.610000	471.640000	0.062937	NaN	NaN	47121.721311	0
2021.12.08 01:46:00	471.358644	0	59	59	1	470.520000	471.940000	0.117002	NaN	NaN	47135.864407	9
2021.12.08 01:47:00	471.422333	0	60	60	1	470.860000	472.270000	0.128974	NaN	NaN	47142.233333	0
2021.12.08 01:48:00	471.477333	0	60	60	1	470.870000	472.030000	0.120850	NaN	NaN	47147.733333	0
2021.12.08 01:49:00	471.096885	0	61	61	1	470.640000	471.570000	0.065988	NaN	NaN	47109.688525	0
