$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_In_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 01:46:00	990.856667	128	60	60	1	990.730000	990.950000	0.004785	NaN	NaN	99085.666667	8388608
2021.12.03 01:47:00	990.854333	128	60	60	1	990.750000	990.970000	0.004340	NaN	NaN	99085.433333	8388617
2021.12.03 01:48:00	990.850333	128	60	60	1	990.720000	990.950000	0.004359	NaN	NaN	99085.033333	8388608
2021.12.03 01:49:00	990.847500	128	60	60	1	990.720000	990.940000	0.004412	NaN	NaN	99084.750000	8388617
2021.12.03 01:50:00	990.851667	128	60	60	1	990.730000	990.950000	0.004340	NaN	NaN	99085.166667	8388608
2021.12.03 01:51:00	990.844667	128	60	60	1	990.720000	990.950000	0.004429	NaN	NaN	99084.466667	8388608
2021.12.03 01:52:00	990.848167	128	60	61	1	990.720000	990.950000	0.004002	NaN	NaN	99084.816667	8388608
2021.12.03 01:53:00	990.853000	128	60	59	1	990.750000	990.950000	0.004303	NaN	NaN	99085.300000	8388608
2021.12.03 01:54:00	990.867000	128	60	59	1	990.730000	990.990000	0.004069	NaN	NaN	99086.700000	8388608
2021.12.03 01:55:00	990.882500	128	60	60	1	990.760000	990.990000	0.003975	NaN	NaN	99088.250000	8388608
2021.12.03 01:56:00	990.868000	128	60	60	1	990.750000	990.980000	0.004986	NaN	NaN	99086.800000	8388608
2021.12.03 01:57:00	990.866000	128	60	60	1	990.760000	990.980000	0.004550	NaN	NaN	99086.600000	8388608
2021.12.03 01:58:00	990.874068	128	59	59	1	990.760000	990.980000	0.004549	NaN	NaN	99087.406780	8388608
2021.12.03 01:59:00	990.882167	128	60	61	1	990.760000	990.980000	0.004217	NaN	NaN	99088.216667	8388608
2021.12.03 02:00:00	990.878833	128	60	59	1	990.770000	990.990000	0.004390	NaN	NaN	99087.883333	8388617
2021.12.03 02:01:00	990.888525	128	61	60	1	990.770000	991.010000	0.004536	NaN	NaN	99088.852459	8388608
