$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_Signal_Proc_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.02 01:47:00	1871.240067	128	60	60	1	1871.010000	1871.852000	0.048837	NaN	NaN	1871240.066667	8388608
2021.12.02 01:48:00	1871.805237	128	59	58	1	1871.286000	1872.407000	0.075074	NaN	NaN	1871805.237288	8388608
2021.12.02 01:49:00	1872.562967	128	61	61	1	1871.847000	1873.248000	0.103509	NaN	NaN	1872562.967213	8388608
2021.12.02 01:50:00	1873.325767	128	60	60	1	1872.966000	1873.527000	0.037525	NaN	NaN	1873325.766667	8388608
2021.12.02 01:51:00	1874.000667	128	60	60	1	1873.243000	1874.365000	0.080529	NaN	NaN	1874000.666667	8388617
2021.12.02 01:52:00	1874.633067	128	60	60	1	1874.083000	1875.202000	0.074079	NaN	NaN	1874633.066667	8388608
2021.12.02 01:53:00	1875.408833	128	60	60	1	1874.920000	1875.758000	0.075674	NaN	NaN	1875408.833333	8388608
2021.12.02 01:54:00	1875.844667	128	60	60	1	1875.474000	1876.316000	0.049022	NaN	NaN	1875844.666667	8388608
2021.12.02 01:55:00	1876.650627	128	59	60	1	1876.032000	1877.153000	0.091311	NaN	NaN	1876650.627119	8388617
2021.12.02 01:56:00	1877.171050	128	60	59	1	1876.870000	1877.715000	0.047821	NaN	NaN	1877171.050000	8388608
2021.12.02 01:57:00	1877.745016	128	61	60	1	1877.433000	1878.275000	0.034297	NaN	NaN	1877745.016393	8388608
2021.12.02 01:58:00	1878.246767	128	60	59	1	1877.710000	1878.829000	0.072594	NaN	NaN	1878246.766667	8388617
2021.12.02 01:59:00	1878.921733	128	60	60	1	1878.548000	1879.387000	0.046668	NaN	NaN	1878921.733333	8388608
2021.12.02 02:00:00	1879.629100	128	60	60	1	1879.106000	1879.948000	0.105140	NaN	NaN	1879629.100000	8388608
2021.12.02 02:01:00	1880.111400	128	60	60	1	1879.664000	1880.501000	0.082386	NaN	NaN	1880111.400000	8388608
