$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_Signal_Raw_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Raw, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Raw	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.12 01:31:00	20398.983333	0	60	60	1	20398.000000	20400.000000	0.728531	NaN	NaN	20398.983333	0
2021.12.12 01:32:00	20402.295082	0	61	61	1	20400.000000	20404.000000	1.344809	NaN	NaN	20402.295082	0
2021.12.12 01:33:00	20404.383333	0	60	60	1	20404.000000	20405.000000	0.240395	NaN	NaN	20404.383333	9
2021.12.12 01:34:00	20406.627119	0	59	59	1	20405.000000	20408.000000	0.927528	NaN	NaN	20406.627119	0
2021.12.12 01:35:00	20407.833333	0	60	60	1	20407.000000	20408.000000	0.141243	NaN	NaN	20407.833333	0
2021.12.12 01:36:00	20408.200000	0	60	60	1	20407.000000	20409.000000	0.196610	NaN	NaN	20408.200000	0
2021.12.12 01:37:00	20407.483333	0	60	60	1	20406.000000	20409.000000	0.592938	NaN	NaN	20407.483333	0
2021.12.12 01:38:00	20404.183333	0	60	60	1	20402.000000	20406.000000	2.220056	NaN	NaN	20404.183333	9
2021.12.12 01:39:00	20402.266667	0	60	60	1	20401.000000	20403.000000	0.232768	NaN	NaN	20402.266667	9
2021.12.12 01:40:00	20401.416667	0	60	60	1	20400.000000	20402.000000	0.382768	NaN	NaN	20401.416667	9
2021.12.12 01:41:00	20402.083333	0	60	60	1	20400.000000	20405.000000	1.670904	NaN	NaN	20402.083333	9
2021.12.12 01:42:00	20406.866667	0	60	60	1	20405.000000	20409.000000	2.117514	NaN	NaN	20406.866667	9
2021.12.12 01:43:00	20412.550000	0	60	60	1	20409.000000	20416.000000	5.946610	NaN	NaN	20412.550000	9
2021.12.12 01:44:00	20420.233333	0	60	60	1	20416.000000	20423.000000	5.097175	NaN	NaN	20420.233333	0
2021.12.12 01:45:00	20426.500000	0	60	60	1	20424.000000	20430.000000	3.745763	NaN	NaN	20426.500000	9
2021.12.12 01:46:00	20432.803279	0	61	61	1	20430.000000	20435.000000	2.060656	NaN	NaN	20432.803279	0
2021.12.12 01:47:00	20437.271186	0	59	59	1	20435.000000	20439.000000	1.407949	NaN	NaN	20437.271186	0
2021.12.12 01:48:00	20440.766667	0	60	60	1	20439.000000	20442.000000	0.622599	NaN	NaN	20440.766667	0
2021.12.12 01:49:00	20442.650000	0	60	60	1	20442.000000	20444.000000	0.536441	NaN	NaN	20442.650000	9
2021.12.12 01:50:00	20444.133333	0	60	60	1	20443.000000	20445.000000	0.287006	NaN	NaN	20444.133333	9
2021.12.12 01:51:00	20445.416667	0	60	60	1	20445.000000	20446.000000	0.247175	NaN	NaN	20445.416667	0
2021.12.12 01:52:00	20446.033333	0	60	59	1	20445.000000	20447.000000	0.337853	NaN	NaN	20446.033333	0
2021.12.12 01:53:00	20445.516667	0	60	60	1	20445.000000	20446.000000	0.253955	NaN	NaN	20445.516667	0
2021.12.12 01:54:00	20443.550000	0	60	60	1	20442.000000	20445.000000	0.997458	NaN	NaN	20443.550000	0
2021.12.12 01:55:00	20441.066667	0	60	60	1	20440.000000	20442.000000	0.673446	NaN	NaN	20441.066667	0
2021.12.12 01:56:00	20438.816667	0	60	60	1	20438.000000	20440.000000	0.355650	NaN	NaN	20438.816667	9
2021.12.12 01:57:00	20438.700000	0	60	60	1	20438.000000	20439.000000	0.213559	NaN	NaN	20438.700000	9
2021.12.12 01:58:00	20436.250000	0	60	60	1	20435.000000	20438.000000	1.105932	NaN	NaN	20436.250000	0
2021.12.12 01:59:00	20434.266667	0	60	60	1	20433.000000	20435.000000	0.232768	NaN	NaN	20434.266667	0
2021.12.12 02:00:00	20433.233333	0	60	60	1	20433.000000	20434.000000	0.181921	NaN	NaN	20433.233333	0
2021.12.12 02:01:00	20433.540984	0	61	61	1	20433.000000	20434.000000	0.252459	NaN	NaN	20433.540984	9
2021.12.12 02:02:00	20434.237288	0	59	59	1	20434.000000	20435.000000	0.184103	NaN	NaN	20434.237288	9
2021.12.12 02:03:00	20435.366667	0	60	60	1	20434.000000	20437.000000	0.948023	NaN	NaN	20435.366667	0
2021.12.12 02:04:00	20435.966667	0	60	60	1	20435.000000	20437.000000	0.507345	NaN	NaN	20435.966667	0
2021.12.12 02:05:00	20436.065574	0	61	61	1	20435.000000	20437.000000	0.295628	NaN	NaN	20436.065574	9
2021.12.12 02:06:00	20435.864407	0	59	59	1	20435.000000	20437.000000	0.360608	NaN	NaN	20435.864407	0
2021.12.12 02:07:00	20436.333333	0	60	60	1	20435.000000	20437.000000	0.327684	NaN	NaN	20436.333333	0
2021.12.12 02:08:00	20436.516667	0	60	60	1	20435.000000	20438.000000	0.694633	NaN	NaN	20436.516667	0
2021.12.12 02:09:00	20438.116667	0	60	59	1	20438.000000	20439.000000	0.104802	NaN	NaN	20438.116667	0
